numeroFrases;emocion;frase;idAudio
1;Neutral;¿Aló? Buenos días, ¿Usted es el titular de la línea? Sí, sí, sí, soy yo mismo;1
2;Neutral;¿Me puede decir su nombre, por favor? ¿Gabriel? Mire, señor Gabriel, le llamo de Moviselgo para ofrecerle una promoción;1
3;Neutral;Consiste en la instalación de una línea adicional en su casa, donde usted tendrá derecho;1
4;Neutral;Perdón, señorita, pero es que, ¿exactamente quién es usted? Mi nombre es Marcela Restrepo de Moviselgo y estamos llamando;1
5;Neutral;Sí, sí, Marcela, discúlpeme, pero para nuestra seguridad me gustaría comprobar algunos datos antes de continuar con esta conversación;1
6;Neutral;¿Le importa? No, no tengo problema, señor;1
7;Neutral;¿Desde qué teléfono me llama? Es que en la pantallita aquí del mío sale número privado;1
8;Neutral;El interno mío es 1004;1
9;Neutral;Ya, ¿y para qué departamento de Moviselgo trabaja usted? Telemarketing Activo;1
10;Neutral;Perdón, ¿me podría dar su identificación de trabajadora de Moviselgo? Señor, disculpe, pero creo que toda esa información no es necesaria;1
11;Enojado;Entonces, pues lamentablemente voy a tener que colgar porque es que no tengo la seguridad de hablar con una trabajadora de Moviselgo;1
12;Neutral;Pero yo le puedo garantizar;1
13;Neutral;Mira, Marcela, cada vez que yo llamo a Moviselgo antes de poder comenzar cualquier trámite estoy obligado a dar mis datos al recepcionista, la secretaria, el auxiliar que me pone a escuchar musiquita mientras piensa quién le chuta la pelota, y luego repetirle a la historia al analista de ventas, al analista de quejas y reclamos, al analista de solicitudes nuevas, al de solicitudes viejas, al de solicitudes no atendidas, al de solicitudes ya atendidas, y al analista nuevo que apenas está entrenando y no tiene ni idea de qué le estoy preguntando;1
14;Neutral;Así que si usted quiere hablar conmigo, pues tendrá que identificarse;1
15;Feliz;Está bien, señor;1
16;Neutral;Para que esté más tranquilo, le informo que mi número de empleada es el 3459-2B2;1
17;Neutral;Un momentico mientras lo verifico;1
18;Neutral;No se retire, Marcela;1
19;Neutral;Señor;1
20;Enojado;¿Señor? ¿Señor, está ocupada aquí en la casa? Pero;1
21;Enojado;¿Hola, señor? Señor, ¿aló? Marcela, Marcela, un momento, por favor, que toda la gente se encuentra aquí ocupada;1
22;Neutral;Bueno, ¿Don Gabriel? ¿Don Gabriel? Aló, sí, Marcela, gracias por la espera;1
23;Enojado;Nuestros sistemas están un poco lentos hoy;1
24;Neutral;¿Cuál era el asunto de su llamada, perdón? Lo llamó a Moiselgo;1
25;Neutral;Estamos llamando para ofrecerle nuestra promoción línea adicional en la que usted tiene derecho al uso de otra línea a muy bajo costo;1
26;Neutral;¿Usted estaría enterizado, Don Gabriel? A ver, Marcela, gracias por llamar;1
27;Neutral;Le voy a comunicar con mi mujer, que es la encargada de la sección de adquisición de productos técnicos en la casa;1
28;Neutral;Por favor, no se retire de la línea;1
29;Neutral;Ay, disculpe por la espera;1
30;Neutral;¿Me puede decir su teléfono? Es que en mi pantallita solo aparece el número privado;1
31;Neutral;1004;1
32;Neutral;Gracias, ¿y con quién estoy hablando? Ay, con Marcela;1
33;Neutral;Marcela, ¿qué, perdón? Marcela Restrepo;1
34;Enojado;Ay, no;1
35;Neutral;Perdón, ¿y cuál es su identificación de trabajadora de Moiselgo? 35-59-1212;1
36;Neutral;Ah, no;1
37;Neutral;Gracias por la información, Marcela, ¿y en qué la puedo ayudar? Mire, la llamo de Moiselgo;1
38;Neutral;Estamos llamando para ofrecerle nuestra promoción línea adicional en la que usted tiene derecho a otra línea;1
39;Neutral;¿Estaría interesada? Pues voy a ingresar su solicitud en nuestro programa de nuevas adquisiciones;1
40;Neutral;Y dentro de algunos días nos contactamos;1
41;Feliz;Vamos con usted;1
42;Neutral;¿Puede anotar el número de ingreso al programa, por favor? Hola;1
43;Neutral;Hola;1
44;Feliz;Hola, buenas tardes;2
45;Feliz;Gracias por llamar al servicio de atención al cliente;2
46;Neutral;Mi nombre es Laura, con quien tengo el gusto de hablar y en que puedo ayudarle hoy;2
47;Neutral;Buenas tardes, mi nombre es Gabriela y quiero cancelar mi suscripción;2
48;Enojado;Lamento escuchar eso;2
49;Enojado;¿Puedo preguntar por qué deseas cancelar tu suscripción? Simplemente ya no estoy utilizando el servicio;2
50;Neutral;Entiendo;2
51;Neutral;¿Hay algo en particular que podríamos mejorar para que su experiencia sea más satisfactoria? No, realmente no tengo tiempo para usarlo;2
52;Neutral;Comprendo;2
53;Neutral;Entonces permítame informarle sobre algunas opciones que podrían ser de su interés;2
54;Neutral;Tenemos un plan más económico que podría ajustarse a mejorar su uso actual;2
55;Neutral;¿Le gustaría conocer más detalles? No, gracias;2
56;Neutral;Solo quiero cancelar;2
57;Neutral;Ok, de acuerdo;2
58;Neutral;Entonces déjeme recordarle que esta llamada está siendo grabada y monitoreada;2
59;Neutral;Y;2
60;Neutral;De acuerdo a su decisión, vamos a proceder con la cancelación que necesita;2
61;Neutral;Para este momento necesitamos confirmar algunos datos;2
62;Neutral;¿Podría usted proporcionarme, por favor, el número de cuenta y el número de su cédula? Sí, claro;2
63;Neutral;La línea es 314-400-000;2
64;Neutral;Y el número de cédula es 1015-742-2400;2
65;Neutral;Ok, perfecto;2
66;Neutral;Dame un momento;2
67;Neutral;Vamos a oler estos datos;2
68;Neutral;Mi nombre es Cristian Castro, bienvenido, claro, en servicio a clientes, ¿qué le puedo colaborar? Hola Cristian, buenas tardes;3
69;Enojado;Cristian, ¿es para cancelar un plan que tengo con ustedes? Claro, sí señor;3
70;Neutral;¿Un servicio que usted desea cancelar, es servicio hogar o servicio móvil? Es servicio hogar, por favor;3
71;Neutral;Ok, ¿usted es el titular del servicio? Sí señor;3
72;Neutral;Vale, permítame por favor su número de documento;3
73;Neutral;Sí claro, es 1000;3
74;Neutral;Sí;3
75;Neutral;52;3
76;Neutral;Sí;3
77;Neutral;52;3
78;Neutral;Vale, Camilo permítame, voy a verificar en la base de datos, de igual manera le recuerdo que la llamada está siendo grabada y monitoreada por efectos de calidad, ¿bueno? Permítame un momento;3
79;Feliz;Vale, gracias;3
80;Neutral;¿Señor Camilo? Sí señor, aquí estoy;3
81;Neutral;Permítame un momento por favor, que tenemos dificultades técnicas, pero ya en un momento tenemos esa información y para ello poder proceder con la cancelación, permítame;3
82;Feliz;Vale, muchas gracias, muy amable;3
83;Neutral;Gracias;3
84;Neutral;Gracias;3
85;Neutral;Gracias;3
86;Neutral;Gracias;3
87;Neutral;Gracias;3
88;Neutral;Gracias;3
89;Neutral;Gracias;3
90;Neutral;Gracias;3
91;Neutral;Gracias;3
92;Neutral;Gracias;3
93;Neutral;Gracias;3
94;Neutral;Gracias;3
95;Neutral;Gracias;3
96;Neutral;Gracias;3
97;Neutral;Gracias;3
98;Neutral;Gracias;3
99;Neutral;Gracias;3
100;Neutral;Gracias;3
101;Neutral;Gracias;3
102;Neutral;Gracias;3
103;Neutral;Gracias;3
104;Neutral;Gracias;3
105;Neutral;Gracias;3
106;Neutral;Gracias;3
107;Neutral;Gracias;3
108;Neutral;Gracias;3
109;Neutral;Gracias;3
110;Neutral;Gracias;3
111;Neutral;Gracias;3
112;Neutral;Gracias;3
113;Neutral;pues ninguna deuda con la compañía;3
114;Neutral;Ah, perfecto, pues sí, entonces yo cancelo los 23 mil pesos y ya con eso quedaría cancelada la línea, ¿cierto? Claro, sí, señor;3
115;Neutral;Si usted me permite, le puedo dar el número del servicio para que usted se pueda acercar a los centros de servicio de Claro y poder realizar este pago y ya en este caso pueda hacer la cancelación vía telefónica nuevamente o ahí mismo en los centros de servicio puede solicitar la cancelación junto con el desprendible de pago;3
116;Feliz;Uy, sí, por favor, muy amable;3
117;Feliz;Vale, sí, señor, con todo el gusto;3
118;Neutral;Señor Camilo;3
119;Enojado;Sí, acá sigo, qué pena contigo;3
120;Neutral;Muchas gracias;3
121;Feliz;Vale, con gusto;3
122;Neutral;Lo voy a dejar entonces en una encuesta;3
123;Neutral;Agradeceríamos muchísimo que por favor respondiera para poder calificar el servicio que le ofrecí en este momento;3
124;Feliz;Bueno, buena tarde;3
125;Feliz;Vale, con gusto;3
126;Feliz;Muchas gracias, señor Camilo;3
127;Feliz;Claro, muy buenas tardes;4
128;Neutral;Mi nombre es Alejandro Gutiérrez;4
129;Neutral;¿En qué le puedo colaborar? Hola, Alejandro;4
130;Neutral;Muchas gracias;4
131;Neutral;Alejandro, lo que pasa es que estoy interesado en cambiarme a Claro con algún plan móvil;4
132;Neutral;¿Me puedes ayudar, por favor? Claro, sí, señor;4
133;Feliz;Con todo el gusto;4
134;Neutral;¿Con quién tengo el gusto de hablar? Con Cristian;4
135;Feliz;Vale, mucho gusto;4
136;Neutral;Señor Cristian, ¿usted desea realizar la portabilidad? Sí, señor;4
137;Neutral;Vale;4
138;Neutral;¿Me podría brindar su número de documento, por favor, para registrar la ayuda? Claro, sí, señor;4
139;Neutral;Mira, es 1020-5285;4
140;Neutral;Ok;4
141;Neutral;¿Su nombre completo es? Cristian Alejandro de la Cruz;4
142;Feliz;Vale, señor Cristian;4
143;Neutral;Bueno, señor Cristian, por efectos de calidad, esta llamada está siendo grabada y monitoreada por efectos de calidad;4
144;Neutral;Bueno;4
145;Neutral;Perfecto;4
146;Neutral;Le comento, ¿se puede realizar la portabilidad? Veo que usted es de servicio de telefonía WOM y, pues, por tal motivo, ¿se puede realizar esta portabilidad? ¿Qué se requiere? Simplemente usted se puede dirigir a cualquiera de nuestros servicios, centros de servicios de Claro, puede adquirir la SIM card y, en ese momento, se hace todo el diligenciamiento que lo hacen directamente nuestros asesores para que pueda ingresar la información requerida y así hacerse esa portabilidad;4
147;Neutral;Generalmente dura 24 horas ese proceso;4
148;Neutral;Ok, perfecto;4
149;Neutral;Cristian Alejandro, que estén a tu me puede, por favor, confirmar qué planes tiene disponibles los precios;4
150;Feliz;Claro, sí, señor;4
151;Neutral;Tenemos cuatro planes en este momento de servicio post pago;4
152;Neutral;Un van depende de la demanda que usted requiera;4
153;Neutral;¿Tiene de pronto presente cuánto estaba consumiendo más o menos en el otro operador? Pues yo tengo actualmente un plan en donde, digamos, que tengo dos siglas de Internet con WhatsApp, Facebook, Instagram ilimitado y minutos y mensajes nacionales ilimitados;4
154;Neutral;Ok;4
155;Neutral;Muy parecido a este y pues abre el precio;4
156;Neutral;Bueno, justamente le iba a ofrecer esto ya que me mencionó primero los dos gigas;4
157;Neutral;Tenemos uno que es de 70 gigas ilimitado, tiene el servicio de, perdón, ilimita lo que es Facebook, lo que es Instagram, lo que es WhatsApp y YouTube y 70 gigas obviamente para otro tipo de consumo;4
158;Neutral;Lo que es llamadas tanto internacionales, llamadas nacionales son, es ilimitado también, no tiene ningún costo adicional;4
159;Neutral;Ok;4
160;Neutral;Pero un valor de 23 mil pesos;4
161;Neutral;Ahora, justo en esta temporada, en este mes de julio, estamos en promoción y por ese motivo estamos en este precio pues porque estamos en la temporada de fiestas, obviamente, y por esa razón estamos dando este ofrecimiento para los que desean hacer esta portabilidad;4
162;Neutral;Es exclusivo para los que desean hacer esta portabilidad, señor Cris;4
163;Feliz;Ah, vale, Alejandro;4
164;Feliz;Entonces, perfecto;4
165;Feliz;Muchas gracias, eres muy amable;4
166;Neutral;Entonces, yo me acercaré a una de las oficinas para realizar;4
167;Neutral;Muchas gracias;4
168;Enojado;Señor Crisan, tiene un costo de 3 mil pesos la SIM card;4
169;Feliz;Ya el resto del proceso es de ningún costo y como le comentaba, la portabilidad dura aproximadamente 24 horas, ¿buena? Perfecto, eres muy amable;4
